76.7550,6.7143
71.7663,6.1431
75.3977,6.7218
75.4897,8.2887
74.9356,8.2167
80.5359,8.4254
76.0392,6.9155
77.5064,6.8967
71.2572,5.4531
81.8983,8.6689
71.7810,6.3693
74.6880,8.3586
80.2380,8.6950
77.6085,7.6956
76.9544,8.5351
72.3774,6.0009
74.6155,8.1113
75.6284,6.9727
73.1245,5.7545
80.7946,8.4380
73.9876,6.3215
72.8784,6.0708
81.5567,8.3874
71.6242,6.1943
76.0474,7.0185
72.0741,6.0520
74.0800,6.8803
79.9751,8.6658
71.7448,5.9932
76.6080,6.6043
76.0557,6.8816
74.0740,7.6300
77.0400,6.2665
72.5079,6.4598
81.6562,8.3506
75.5237,7.0339
71.5062,6.1155
76.2783,6.6191
74.8201,5.7533
74.7600,8.1813
81.1563,8.5792
81.9018,8.3147
76.7990,8.1145
72.5786,6.3246
70.8159,6.0173
76.2549,6.6499
71.2027,6.0091
75.3553,6.9059
72.3851,6.4052
76.6752,6.7391
71.6063,5.6680
75.6664,7.0508
81.1232,8.3662
80.3743,8.3417
81.6610,8.2410
74.1101,7.1179
72.8221,6.0728
72.5718,5.5463
77.4498,7.3698
77.5576,6.5549
76.7938,7.8303
71.6184,6.2118
70.5360,5.9340
72.0065,6.1107
71.0128,6.4002
75.0359,6.6999
77.2459,6.7903
71.1363,6.2097
73.5243,7.0308
75.3472,7.8888
72.7050,8.4650
75.1283,8.3984
75.2720,7.2381
72.0039,5.7933
73.4886,8.1025
72.4093,5.3817
75.3945,7.9866
75.2907,8.0641
74.1833,6.8224
80.5252,8.2083
73.6191,8.1924
81.5116,8.0746
74.9425,7.1586
76.7092,7.8754
72.0356,8.8206
75.3820,7.6288
73.7272,8.0186
76.6018,7.6535
71.1052,5.9117
71.1972,5.7992
75.5168,7.8672
76.0997,6.5399
76.1041,6.8405
81.1173,8.4996
80.3472,8.5475
75.0096,7.7678
81.2972,9.1254
77.5700,6.4014
76.6400,6.5037
73.6672,6.9870
75.7097,6.7273
